# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	561
#@/user_id	33e91bdb-5ca1-4f37-9238-e29cf6b8326d
qie huan 	切換	c=1 d=0.265803 t=561
qiu zhu 	求助	c=1 d=0.494109 t=561
qu 	去	c=9 d=2.55048 t=561
qu 	取	c=1 d=0.554327 t=561
qu dao 	渠道	c=3 d=1.59276 t=561
qun zhu 	群主	c=1 d=0.208045 t=561
ran hou 	然後	c=1 d=0.17367 t=561
ran hou feng 	然後風	c=1 d=0.157237 t=561
re wu 	熱舞	c=3 d=2.77083 t=561
ren min 	人民	c=1 d=0.946485 t=561
ren min bi 	人民幣	c=1 d=0.211189 t=561
ren shi 	人士	c=1 d=0.831104 t=561
ri 	日	c=3 d=0.802828 t=561
ru chao 	如潮	c=0 d=0.0733447 t=561
ru guo 	如果	c=1 d=0.88692 t=561
ruan jian 	軟件	c=1 d=0.860708 t=561
ruo ruo 	弱弱	c=1 d=0.40657 t=561
ruo ruo 	若若	c=1 d=0.404542 t=561
sen lin gong yuan 	森林公園	c=1 d=0.131336 t=561
sha 	啥	c=0 d=0.0431711 t=561
sha di zhi 	啥地址	c=1 d=0.433874 t=561
sha shi hou 	啥時候	c=1 d=0.463013 t=561
shang 	上	c=1 d=0.904837 t=561
shang che 	上車	c=1 d=0.184916 t=561
shang che dian 	上車點	c=1 d=0.172045 t=561
shao yi dian 	少一點	c=1 d=0.873716 t=561
shen er 	甚而	c=0 d=0.066365 t=561
shen er me 	甚而麼	c=1 d=0.666977 t=561
shen jing 	神經	c=1 d=0.965605 t=561
shen me 	什麼	c=1 d=0.67032 t=561
sheng zhi 	升職	c=0 d=0.0873716 t=561
sheng zhi ji 	升職記	c=2 d=1.81517 t=561
shi 	是	c=12 d=4.51573 t=561
shi ge 	是個	c=1 d=0.687289 t=561
shi hou 	時候	c=3 d=1.41522 t=561
shi jian 	時間	c=1 d=0.839457 t=561
shi me 	是麼	c=1 d=0.559898 t=561
shi pin 	視頻	c=0 d=0.0878095 t=561
shi yong 	使用	c=2 d=0.97531 t=561
shou xian 	首先	c=1 d=0.283654 t=561
shu 	術	c=1 d=0.822835 t=561
shu ru fa 	輸入法	c=2 d=0.583771 t=561
shui jiao 	睡覺	c=1 d=0.360595 t=561
shuo 	說	c=1 d=0.474734 t=561
si ji 	司機	c=0 d=0.0496585 t=561
si kao 	思考	c=1 d=0.818731 t=561
si wei 	思維	c=0 d=0.083527 t=561
si wei dao hang 	思維導航	c=1 d=0.839457 t=561
suan ge 	算個	c=0 d=0.0873716 t=561
suan ge la zi 	算個辣子	c=1 d=0.878095 t=561
ta 	他	c=1 d=0.752014 t=561
tai 	太	c=1 d=0.980199 t=561
tai guo 	泰國	c=1 d=0.147342 t=561
tai xue 	大學	c=0 d=0.0396531 t=561
tai xue nie 	大學捏	c=1 d=0.398519 t=561
tai yuan 	太遠	c=0 d=0.0932394 t=561
tai yuan le 	太遠了	c=1 d=0.937067 t=561
tai zi fei 	太子妃	c=2 d=1.80611 t=561
tan ge 	探戈	c=2 d=1.85781 t=561
tao bao 	淘寶	c=1 d=0.142274 t=561
tao yan 	討厭	c=0 d=0.0740818 t=561
teng xun 	騰訊	c=0 d=0.0878095 t=561
teng xun shi pin 	騰訊視頻	c=1 d=0.882497 t=561
tian ai 	天崖	c=0 d=0.0900325 t=561
tian jia 	添加	c=2 d=1.98012 t=561
tian xie 	填寫	c=2 d=0.874546 t=561
tiao 	跳	c=1 d=0.970446 t=561
tong 	痛	c=1 d=0.970446 t=561
tong nian 	同年	c=1 d=0.763379 t=561
wan quan 	完全	c=1 d=0.156453 t=561
wang shang 	網上	c=2 d=0.951585 t=561
wang ye 	網頁	c=1 d=0.847894 t=561
wei wo men 	爲我們	c=1 d=0.97531 t=561
wen 	問	c=0 d=0.040657 t=561
wen hua 	文化	c=0 d=0.0843665 t=561
wen yi ju 	問一句	c=1 d=0.408608 t=561
wo 	我	c=1 d=0.974241 t=561
wo dou 	我都	c=1 d=0.615697 t=561
wo hao lei 	我好累	c=1 d=0.806541 t=561
wo jia ren 	我家人	c=0 d=0.0683861 t=561
wo kan dao 	我看到	c=1 d=0.56836 t=561
wo kan kan 	我看看	c=1 d=0.45612 t=561
wo ye 	我也	c=0 d=0.0603506 t=561
wo ye gao bu dong 	我也搞不懂	c=1 d=0.606531 t=561
wu bi 	五筆	c=7 d=6.45747 t=561
xia 	下	c=1 d=0.29523 t=561
xia hui 	下回	c=1 d=0.203926 t=561
xian gang 	峴港	c=2 d=0.538845 t=561
xian qi 	賢妻	c=0 d=0.0873716 t=561
xian zai 	現在	c=2 d=1.53564 t=561
xiang 	想	c=2 d=1.44507 t=561
xiang qu 	想去	c=1 d=0.694197 t=561
xiang ying 	響應	c=1 d=0.308819 t=561
xiao 	小	c=1 d=0.644036 t=561
xiao shuo 	小說	c=1 d=0.726149 t=561
xin 	新	c=0 d=0.0162026 t=561
xin ka fei 	新咖啡	c=7 d=2.55181 t=561
xing fu 	幸福	c=0 d=0.13962 t=561
xing fu yi xie 	幸福一些	c=1 d=0.790571 t=561
xu yao 	需要	c=2 d=0.274775 t=561
ya 	呀	c=1 d=0.565525 t=561
ya zhuang 	芽莊	c=10 d=2.53843 t=561
yao 	要	c=2 d=0.864916 t=561
yao li hun 	要離婚	c=1 d=0.729789 t=561
yao si 	要死	c=0 d=0.0680451 t=561
yao tian xie 	要填寫	c=2 d=1.02578 t=561
ye 	也	c=3 d=1.11994 t=561
ye xia 	腋下	c=1 d=0.960789 t=561
yi ben 	一本	c=1 d=0.722527 t=561
yi dian 	一點	c=1 d=0.177284 t=561
yi han 	遺憾	c=1 d=0.32628 t=561
yi ji 	一集	c=1 d=0.995012 t=561
yi ju 	一句	c=0 d=0.040657 t=561
yi li 	毅力	c=1 d=0.67032 t=561
yi shi 	一試	c=1 d=0.923116 t=561
yi tian 	一天	c=0 d=0.0484325 t=561
yi tian dou zai jia 	一天都在家	c=1 d=0.486752 t=561
